,amenity,name,geometry,lon,lat
311,bank,Eastwest Bank,POINT (125.354582 6.7559648),125.354582,6.7559648
312,bank,BPI,POINT (125.4979929 7.0148989),125.4979929,7.0148989
313,bank,"Rural Bank of Labason (ZN), Inc. Main Office",POINT (122.5225863 8.0678277),122.5225863,8.0678277
314,bank,"Rural Bank of Labason (ZN), Inc. Tampilisan Branch",POINT (122.6627541 7.9757272),122.6627541,7.9757272
315,bank,Rural Bank of Labason,POINT (122.5853193 7.7894697),122.5853193,7.7894697
316,bank,Rural Bank of Labason,POINT (122.9354248 7.6415128),122.9354248,7.6415128
317,bank,"Rural Bank of Labason (ZN), Inc. CDO Branch",POINT (124.6386483 8.4765423),124.6386483,8.4765423
318,bank,China Bank,POINT (124.6426669 8.4778404),124.6426669,8.4778404
319,bank,Bank of Makati,POINT (124.6380085 8.4767739),124.6380085,8.4767739
320,bank,RCBC,POINT (125.1899474 6.1216869),125.1899474,6.1216869
321,bank,,POINT (125.5045887 7.0901718),125.5045887,7.0901718
322,bank,Metrobank,POINT (124.6506424 8.4865239),124.6506424,8.4865239
323,bank,Landbank bansalan,POINT (125.2113722 6.7869768),125.2113722,6.7869768
324,bank,RCBC,POINT (123.7727469 7.9213898),123.7727469,7.9213898
325,bank,Central bank,POINT (122.0811119 6.9022424),122.0811119,6.9022424
326,bank,BDO,POINT (124.6459827 8.4764506),124.6459827,8.4764506
327,bank,Partners Rural Bank,POINT (124.5537753 7.3861747),124.5537753,7.3861747
328,bank,Partners Rural Bank,POINT (124.8851452 6.947443),124.8851452,6.947443
329,bank,Cooperative bank og Cotabato,POINT (124.8850877 6.9469515),124.8850877,6.9469515
330,bank,Katipunan Bank,POINT (123.2837015 8.512389199999999),123.2837015,8.5123892
331,bank,BDO,POINT (124.8440869 6.5013886),124.8440869,6.5013886
332,bank,PNB,POINT (124.6578028 8.4819619),124.6578028,8.4819619
333,bank,Union Bank,POINT (124.2351111 8.229340199999999),124.2351111,8.2293402
334,bank,BPI,POINT (125.3540482 6.7571803),125.3540482,6.7571803
335,bank,Metrobank,POINT (121.9706699 6.706568),121.9706699,6.706568
336,bank,PNB,POINT (121.971295 6.7057134),121.971295,6.7057134
337,bank,Landbank,POINT (121.9703404 6.706948),121.9703404,6.706948
338,bank,First community cooperative,POINT (125.1059953 7.7205362),125.1059953,7.7205362
339,bank,BDO,POINT (125.1721052 6.1082059),125.1721052,6.1082059
340,bank,BDO,POINT (125.1798628 6.1157981),125.1798628,6.1157981
341,bank,BDO,POINT (125.1736803 6.1189998),125.1736803,6.1189998
342,bank,BDO,POINT (125.1792271 6.1098708),125.1792271,6.1098708
343,bank,China Bank,POINT (125.1733947 6.1137072),125.1733947,6.1137072
